scope	path	offset	length	file_size	mtime
VKMT	wine/build-ec/dlls/oleaut32/aarch64-windows/oleaut32.dll	0	393216	6094848	1785109510
VKMT	wine/build-ec/dlls/win32u/libfreetype.6.dylib	0	393216	620256	1785252497
VKMT	wine/build-ec/dlls/winhttp/aarch64-windows/winhttp.dll	65536	393216	3080192	1785478917
VKMT	wine/build-ec/dlls/xaudio2_9/aarch64-windows/xaudio2_9.dll	65536	393216	3145728	1785109556
VKMT	wine/build-ec/dlls/crypt32/libgnutls.30.dylib	0	327680	2324784	1785395039
VKMT	wine/build-ec/dlls/gdi32/aarch64-windows/gdi32.dll	0	327680	4980736	1785109471
VKMT	wine/build-ec/dlls/ntdll/aarch64-windows/ntdll.dll	0	327680	7340032	1785590993
VKMT	wine/build-ec/dlls/rpcrt4/aarch64-windows/rpcrt4.dll	0	327680	5177344	1785426507
VKMT	wine/build-ec/dlls/shlwapi/aarch64-windows/shlwapi.dll	65536	327680	2686976	1785109521
VKMT	wine/build-ec/dlls/ucrtbase/aarch64-windows/ucrtbase.dll	0	327680	7471104	1785109527
PREFIX	drive_c/windows/resources/themes/aero/aero.msstyles	0	311296	7667712	1785475903
VKMT	wine/build-ec/dlls/advapi32/aarch64-windows/advapi32.dll	65536	278528	2686976	1785109434
VKMT	wine/build-ec/dlls/bcrypt/aarch64-windows/bcrypt.dll	65536	262144	3997696	1785109436
VKMT	wine/build-ec/dlls/combase/aarch64-windows/combase.dll	65536	262144	3473408	1785109439
VKMT	wine/build-ec/dlls/imm32/aarch64-windows/imm32.dll	65536	262144	1638400	1785109476
VKMT	wine/build-ec/dlls/mfplat/aarch64-windows/mfplat.dll	0	262144	4456448	1785109484
VKMT	wine/build-ec/dlls/msvcrt/aarch64-windows/msvcrt.dll	0	262144	6291456	1785449315
VKMT	wine/build-ec/dlls/shlwapi/aarch64-windows/shlwapi.dll	0	262144	2686976	1785109521
VKMT	wine/build-ec/dlls/uxtheme/aarch64-windows/uxtheme.dll	0	262144	2031616	1785109529
VKMT	wine/build-ec/dlls/uxtheme/aarch64-windows/uxtheme.dll	65536	262144	2031616	1785109529
VKMT	wine/build-ec/dlls/win32u/aarch64-windows/win32u.dll	0	262144	1703936	1785449856
VKMT	wine/build-ec/dlls/ws2_32/aarch64-windows/ws2_32.dll	65536	262144	1900544	1785471231
